# timestamp	commit	deps	machine	target	label	n	median	p95	max	note
2026-09-08 11:10:48	78cb717+	-	ADV-DEV-56627	yugioh	parse+check	5	3778.63	4017.06	4017.06	erste messung gegen yugioh
2026-09-08 15:38:38	58b008f+	-	ADV-DEV-56627	yugioh	parse+check	5	3574.07	4633.27	4633.27	vor Teilmengen-Elimination in createNormalizedUnionType
2026-09-08 15:55:19	58b008f+	-	ADV-DEV-56627	yugioh	parse+check	5	3470.54	3568.54	3568.54	nach Teilmengen-Elimination in createNormalizedUnionType
2026-09-09 10:10:45	4bc1cab+	-	ADV-DEV-56627	yugioh	parse+check	5	3612.75	4009.19	4009.19	vor ElementAt-Umbau (nachtraeglich gemessen)
2026-09-09 10:32:05	4bc1cab+	-	ADV-DEV-56627	yugioh	parse+check	5	3382.16	3680.73	3680.73	nach ElementAt-Umbau (getElement rein deklarativ)
2026-09-09 11:24:34	2f37659+	-	ADV-DEV-56627	yugioh	parse+check	5	3684.55	3905.50	3905.50	vor Verengung ueber Feldzugriff
2026-09-09 14:23:34	2f37659+	-	ADV-DEV-56627	yugioh	parse+check	5	3397.82	3773.74	3773.74	nach Verengung ueber Pfade
2026-09-09 18:44:40	2961841	-	ADV-DEV-56627	yugioh	parse+check	5	3316.90	3574.74	3574.74	vor Dictionary-Merge im Intersection-Shortcut
2026-09-09 19:15:16	2961841+	-	ADV-DEV-56627	yugioh	parse+check	5	3419.49	3550.22	3550.22	nach Dictionary-Merge im Intersection-Shortcut
2026-09-09 20:10:35	c494862+	-	ADV-DEV-56627	yugioh	parse+check	5	3390.08	3628.90	3628.90	functionLiteral: Any-Rueckgabetyp faellt auf deklarierten Typ zurueck
2026-09-09 22:08:08	4f4700e+	-	ADV-DEV-56627	yugioh	parse+check	5	3544.51	3575.26	3575.26	Elaboration fuer fehlende/falsche Dictionary-Felder bei Definitionen
2026-09-09 22:08:42	4f4700e+	-	ADV-DEV-56627	jul-examples	parse+check	5	21.27	45.97	45.97	Elaboration - Gegenprobe auf fehlerfreiem Ziel
2026-09-09 22:28:47	4f4700e+	-	ADV-DEV-56627	jul-examples	parse+check	5	20.20	38.79	38.79	Elaboration auch fuer generisches Dictionary(T) Ziel
2026-09-10 09:43:20	3dae426+	-	ADV-DEV-56627	jul-examples	parse+check	5	19.45	52.87	52.87	spread-flatten-start
2026-09-10 09:47:53	3dae426+	-	ADV-DEV-56627	yugioh	parse+check	5	3433.64	3680.68	3680.68	spread-flatten-start
2026-09-10 10:06:41	1cb6051+	-	ADV-DEV-56627	yugioh	parse+check	5	3425.68	3692.68	3692.68	spread-flatten-end
2026-09-10 10:35:04	bd049c8+	-	ADV-DEV-56627	yugioh	parse+check	5	3495.44	3881.51	3881.51	spread-complete-final
2026-09-10 12:19:19	139fbde+	-	ADV-DEV-56627	yugioh	parse+check	5	3460.11	3712.18	3712.18	vor Missing-field Sammelzeile
2026-09-10 12:22:12	139fbde+	-	ADV-DEV-56627	yugioh	parse+check	5	3402.61	3506.10	3506.10	nach Missing-field Sammelzeile
2026-09-10 12:38:01	9d05a26+	-	ADV-DEV-56627	yugioh	parse+check	5	3627.45	3860.41	3860.41	vor C1 (nach A+B)
2026-09-10 12:41:04	9d05a26+	-	ADV-DEV-56627	yugioh	parse+check	5	3993.20	4378.42	4378.42	nach C1 (A+B+C1 komplett)
2026-09-10 14:12:55	0dbc86b	-	ADV-DEV-56627	yugioh	parse+check	5	3469.60	3758.98	3758.98	returnTypeMismatch Position: last(body) statt ganze Funktion
2026-09-10 14:31:07	66641a8+	-	ADV-DEV-56627	yugioh	parse+check	5	3665.74	3774.64	3774.64	Tupel-Element-Fehler deduplizieren (getTupleTypeError2)
